The Image Size: 596 X 336 pixels
21 : {'vehicle_id': 21, 'vehicle_type': 'car', 'appear_video_coordinate': (103, 281), 'appear_time': '0.0004', 'disappear_video_coordinate': (339, 339), 'disappear_time': '0.2464'}
18 : {'vehicle_id': 18, 'vehicle_type': 'car', 'appear_video_coordinate': (387, 272), 'appear_time': '0.0004', 'disappear_video_coordinate': (447, 447), 'disappear_time': '0.2759'}
24 : {'vehicle_id': 24, 'vehicle_type': 'car', 'appear_video_coordinate': (357, 294), 'appear_time': '0.0004', 'disappear_video_coordinate': (439, 439), 'disappear_time': '0.2406'}
14 : {'vehicle_id': 14, 'vehicle_type': 'car', 'appear_video_coordinate': (191, 255), 'appear_time': '0.0004', 'disappear_video_coordinate': (421, 421), 'disappear_time': '0.2892'}
26 : {'vehicle_id': 26, 'vehicle_type': 'car', 'appear_video_coordinate': (404, 295), 'appear_time': '0.0004', 'disappear_video_coordinate': (438, 438), 'disappear_time': '0.2429'}
10 : {'vehicle_id': 10, 'vehicle_type': 'car', 'appear_video_coordinate': (202, 242), 'appear_time': '0.0004', 'disappear_video_coordinate': (516, 516), 'disappear_time': '0.2900'}
5 : {'vehicle_id': 5, 'vehicle_type': 'bus', 'appear_video_coordinate': (449, 290), 'appear_time': '0.0004', 'disappear_video_coordinate': (376, 376), 'disappear_time': '0.2900'}
7 : {'vehicle_id': 7, 'vehicle_type': 'car', 'appear_video_coordinate': (198, 229), 'appear_time': '0.0004', 'disappear_video_coordinate': (376, 376), 'disappear_time': '0.2892'}
12 : {'vehicle_id': 12, 'vehicle_type': 'car', 'appear_video_coordinate': (500, 247), 'appear_time': '0.0004', 'disappear_video_coordinate': (425, 425), 'disappear_time': '0.2896'}
6 : {'vehicle_id': 6, 'vehicle_type': 'bus', 'appear_video_coordinate': (406, 223), 'appear_time': '0.0004', 'disappear_video_coordinate': (398, 398), 'disappear_time': '0.2900'}
15 : {'vehicle_id': 15, 'vehicle_type': 'car', 'appear_video_coordinate': (476, 253), 'appear_time': '0.0004', 'disappear_video_coordinate': (405, 405), 'disappear_time': '0.2649'}
29 : {'vehicle_id': 29, 'vehicle_type': 'car', 'appear_video_coordinate': (372, 328), 'appear_time': '0.0004', 'disappear_video_coordinate': (439, 439), 'disappear_time': '0.2398'}
9 : {'vehicle_id': 9, 'vehicle_type': 'car', 'appear_video_coordinate': (403, 237), 'appear_time': '0.0004', 'disappear_video_coordinate': (399, 399), 'disappear_time': '0.2892'}
16 : {'vehicle_id': 16, 'vehicle_type': 'car', 'appear_video_coordinate': (388, 272), 'appear_time': '0.0008', 'disappear_video_coordinate': (406, 406), 'disappear_time': '0.2645'}
19 : {'vehicle_id': 19, 'vehicle_type': 'car', 'appear_video_coordinate': (104, 280), 'appear_time': '0.0008', 'disappear_video_coordinate': (406, 406), 'disappear_time': '0.2637'}
13 : {'vehicle_id': 13, 'vehicle_type': 'car', 'appear_video_coordinate': (193, 255), 'appear_time': '0.0008', 'disappear_video_coordinate': (425, 425), 'disappear_time': '0.2900'}
23 : {'vehicle_id': 23, 'vehicle_type': 'car', 'appear_video_coordinate': (357, 294), 'appear_time': '0.0008', 'disappear_video_coordinate': (437, 437), 'disappear_time': '0.2441'}
25 : {'vehicle_id': 25, 'vehicle_type': 'car', 'appear_video_coordinate': (404, 295), 'appear_time': '0.0008', 'disappear_video_coordinate': (438, 438), 'disappear_time': '0.2425'}
11 : {'vehicle_id': 11, 'vehicle_type': 'car', 'appear_video_coordinate': (499, 247), 'appear_time': '0.0008', 'disappear_video_coordinate': (12, 12), 'disappear_time': '0.2900'}
31 : {'vehicle_id': 31, 'vehicle_type': 'car', 'appear_video_coordinate': (370, 330), 'appear_time': '0.0008', 'disappear_video_coordinate': (429, 429), 'disappear_time': '0.1974'}
8 : {'vehicle_id': 8, 'vehicle_type': 'bus', 'appear_video_coordinate': (404, 228), 'appear_time': '0.0008', 'disappear_video_coordinate': (399, 399), 'disappear_time': '0.2884'}
20 : {'vehicle_id': 20, 'vehicle_type': 'car', 'appear_video_coordinate': (385, 272), 'appear_time': '0.0012', 'disappear_video_coordinate': (370, 370), 'disappear_time': '0.2504'}
4 : {'vehicle_id': 4, 'vehicle_type': 'bus', 'appear_video_coordinate': (449, 291), 'appear_time': '0.0012', 'disappear_video_coordinate': (421, 421), 'disappear_time': '0.2892'}
28 : {'vehicle_id': 28, 'vehicle_type': 'car', 'appear_video_coordinate': (402, 298), 'appear_time': '0.0020', 'disappear_video_coordinate': (438, 438), 'disappear_time': '0.2433'}
17 : {'vehicle_id': 17, 'vehicle_type': 'car', 'appear_video_coordinate': (384, 275), 'appear_time': '0.0024', 'disappear_video_coordinate': (414, 414), 'disappear_time': '0.2614'}
22 : {'vehicle_id': 22, 'vehicle_type': 'car', 'appear_video_coordinate': (349, 301), 'appear_time': '0.0024', 'disappear_video_coordinate': (447, 447), 'disappear_time': '0.2460'}
3 : {'vehicle_id': 3, 'vehicle_type': 'bus', 'appear_video_coordinate': (446, 290), 'appear_time': '0.0024', 'disappear_video_coordinate': (421, 421), 'disappear_time': '0.2896'}
2 : {'vehicle_id': 2, 'vehicle_type': 'bus', 'appear_video_coordinate': (447, 288), 'appear_time': '0.0035', 'disappear_video_coordinate': (419, 419), 'disappear_time': '0.2900'}
27 : {'vehicle_id': 27, 'vehicle_type': 'car', 'appear_video_coordinate': (343, 305), 'appear_time': '0.0039', 'disappear_video_coordinate': (436, 436), 'disappear_time': '0.2437'}
1 : {'vehicle_id': 1, 'vehicle_type': 'bus', 'appear_video_coordinate': (448, 288), 'appear_time': '0.0047', 'disappear_video_coordinate': (431, 431), 'disappear_time': '0.2900'}
0 : {'vehicle_id': 0, 'vehicle_type': 'bus', 'appear_video_coordinate': (444, 290), 'appear_time': '0.0071', 'disappear_video_coordinate': (405, 405), 'disappear_time': '0.2900'}
34 : {'vehicle_id': 34, 'vehicle_type': 'car', 'appear_video_coordinate': (34, 297), 'appear_time': '0.1103', 'disappear_video_coordinate': (528, 528), 'disappear_time': '0.1307'}
32 : {'vehicle_id': 32, 'vehicle_type': 'car', 'appear_video_coordinate': (451, 285), 'appear_time': '0.1252', 'disappear_video_coordinate': (525, 525), 'disappear_time': '0.1978'}
